Journal	Top 5 Dummy	Date	Role	First name	Surname	Affiliation 1	Country 1	Continent 1	Location 1	lat	lon	Affiliation 2	Country 2	Continent 2	Location 2	lat2	lon2
AEJ: Macroeconomics	0	31/7/20	Co-editor	Giorgio	Primiceri	Northwestern, Evanston, Illinois	USA	North America	42.056483, -87.675112	42.056483	-87.675112						
AEJ: Macroeconomics	0	31/7/20	Co-editor	Aysegul	Sahin	UT Austin	USA	North America	30.284965, -97.733783	30.284965	-97.733783						
AEJ: Macroeconomics	0	31/7/20	Editor	Simon	Gilchrist	NYU, New York, NY	USA	North America	40.729542, -73.996561	40.729542	-73.996561						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Cristina	Arellano	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267254	44.984649	-93.267254						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Mark	Bils	Rochester, Rochester, New York	USA	North America	43.130440, -77.626176	43.13044	-77.626176						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Francisco	Buera	Washington University in St. Louis, Missouri	USA	North America	38.648848, -90.310691	38.648848	-90.310691						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Timothy	Cogley	NYU, New York, NY	USA	North America	40.729542, -73.996562	40.729542	-73.996562						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Andrea	Eisfeldt	UCLA	USA	North America	34.068961, -118.445083	34.068961	-118.445083						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Ester	Faia	Goethe University Frankfurt	Germany	Europe	50.127150, 8.667667	50.12715	8.667667						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Jesus	Fernandez-Villaverde	University of Pennsylvania, Philadelphia	USA	North America	39.952206, -75.193451	39.952206	-75.193451						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Cosmin	Ilut	Duke, Durham, South Carolina	USA	North America	36.001426, -78.938348	36.001426	-78.938348						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Joseph	Kaboski	Notre Dame, Notre Dame, Indiana	USA	North America	41.705576, -86.235671	41.705576	-86.235671						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Guido	Menzio	University of Pennsylvania, Philadelphia	USA	North America	39.952206, -75.193452	39.952206	-75.193452						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Claudia	Olivetti	Boston University	USA	North America	42.350389, -71.105496	42.350389	-71.105496						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Stephanie	Schmitt-Grohe	Columbia, New York, New York	USA	North America	40.807511, -73.962661	40.807511	-73.962661						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Todd	Schoellman	Federal Reserve Bank of Minneapolis	USA	North America	44.984649, -93.267255	44.984649	-93.267255						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Vivian	Yue	Emory, Atlanta, Georgia	USA	North America	33.797385, -84.322302	33.797385	-84.322302						
AEJ: Macroeconomics	0	31/7/20	Editorial Board	Tao	Zha	Federal Reserve Bank of Atlanta	USA	North America	33.782235, -84.384497	33.782235	-84.384497						
